,Unnamed: 0,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Ticker,Industry,roce_rank,ticker,coef,r_squared,std,coef_rank,std_rank,average_score,final_score
0,9,A,Return on Capital Employed,0.0833,0.0784,0.0896,0.1231,0.1385,0.1347,0.1127,0.1602,0.1831,0.1566,,A,Health Care,224.0,A,0.010367272727764016,0.7918736174460408,0.03346289885828782,116.0,321.0,59.71666666666667,75.0
1,25,AAP,Return on Capital Employed,0.2026,0.1887,0.1722,0.1158,0.1187,0.1001,0.0984,0.1175,0.1009,0.0172,,AAP,Consumer Discretionary,782.0,AAP,-0.015924242425000814,0.8050965570566553,0.050975532366028316,726.0,480.0,235.29999999999998,778.0
2,41,ABBV,Return on Capital Employed,0.1709,0.1739,0.1571,0.1613,0.1506,0.1351,0.0465,0.138,0.1437,0.0816,,ABBV,Health Care,481.0,ABBV,-0.00891212121253906,0.4372382919986111,0.0387122990792332,660.0,376.0,187.9,628.0
3,57,ABT,Return on Capital Employed,0.1026,0.1578,0.0453,0.0466,0.0624,0.0816,0.0906,0.1401,0.1473,0.123,,ABT,Health Care,323.0,ABT,0.0,0.10635045824923783,0.03924984203789869,387.5,380.0,122.34166666666668,308.0
4,73,ACHC,Return on Capital Employed,0.0847,0.0682,0.0381,0.0683,0.0028,0.0502,0.0659,0.0768,0.095,0.0113,,ACHC,Health Care,799.0,ACHC,0.0,0.02076278785655472,0.028909654096858372,387.5,257.0,163.79166666666669,531.0
5,89,ACM,Return on Capital Employed,0.0962,0.007,0.0376,0.0444,0.03,0.0051,0.0558,0.1022,0.1127,0.0503,,ACM,Industrials,632.0,ACM,0.0,0.10045912838555404,0.03619925551720643,387.5,354.0,151.9416666666667,479.0
6,105,ACN,Return on Capital Employed,0.4176,0.432,0.4588,0.3452,0.3968,0.3315,0.2756,0.2817,0.3071,0.2724,,ACN,Information Technology,75.0,ACN,-0.020246666667630066,0.7736395579884403,0.06611670061338512,755.0,595.0,175.66666666666666,581.0
7,121,ADBE,Return on Capital Employed,0.0491,0.0986,0.1521,0.2009,0.1993,0.2674,0.2286,0.2865,0.3215,0.3211,,ADBE,Information Technology,50.0,ADBE,0.029281818183199398,0.9300975216504291,0.08720889232182691,40.0,691.0,46.883333333333326,14.0
8,137,ADM,Return on Capital Employed,0.1219,0.0974,0.0792,0.0705,0.0833,0.0658,0.0701,0.1039,0.1575,0.1389,,ADM,Consumer Staples,270.0,ADM,0.004112121212311111,0.15581357610700064,0.02992197353116936,181.0,268.0,73.58333333333333,119.0
9,153,ADP,Return on Capital Employed,0.2817,0.3591,0.2927,0.3546,0.3406,0.3386,0.3639,0.3204,0.4913,0.5718,0.5638,ADP,Industrials,6.0,ADP,0.02242848484954614,0.5616442667532853,0.08595996800837002,51.0,682.0,44.050000000000004,3.0
10,169,ADT,Return on Capital Employed,,-0.013,-0.0172,0.0194,0.0019,0.0065,-0.0048,-0.0009,0.0301,0.028,,ADT,Consumer Discretionary,742.0,ADT,,,0.0160663285656757,,133.0,,
11,185,AES,Return on Capital Employed,0.0738,0.0037,0.061,0.1055,0.0718,0.0522,-0.0054,0.0297,-0.0231,,,AES,Utilities,,AES,,,0.04012607292515755,,391.0,,
12,201,AFL,Return on Capital Employed,0.0402,0.0364,0.0348,0.0304,0.0308,0.0317,0.0274,0.0357,0.0391,0.0424,,AFL,Financials,672.0,AFL,0.0,0.017911920300743622,0.004565402501423068,387.5,9.0,138.6916666666667,415.0
13,217,AFRM,Return on Capital Employed,,,,,,-0.1034,-0.078,-0.0848,-0.1186,-0.1007,-0.019,AFRM,Information Technology,888.5,AFRM,,,0.014359665734271115,,114.0,,
